timestamp_abs,elapsed_s,gpu_id,temperature,power,clock_graphics
1769013755.309892,0.0003085136413574219,0,39.0,35.19,1590.0
1769013755.309892,0.0003085136413574219,1,38.0,34.12,1590.0
1769013755.309892,0.0003085136413574219,2,37.0,34.39,1590.0
1769013755.309892,0.0003085136413574219,3,37.0,35.17,1590.0
1769013756.8029835,1.4934000968933105,0,39.0,34.9,1590.0
1769013756.8029835,1.4934000968933105,1,38.0,34.22,1590.0
1769013756.8029835,1.4934000968933105,2,37.0,34.68,1590.0
1769013756.8029835,1.4934000968933105,3,37.0,35.19,1590.0
1769013758.2950711,2.985487699508667,0,39.0,35.0,1590.0
1769013758.2950711,2.985487699508667,1,38.0,34.31,1590.0
1769013758.2950711,2.985487699508667,2,37.0,34.49,1590.0
1769013758.2950711,2.985487699508667,3,38.0,35.17,1590.0
1769013759.7865856,4.477002143859863,0,39.0,35.19,1590.0
1769013759.7865856,4.477002143859863,1,39.0,34.31,1590.0
1769013759.7865856,4.477002143859863,2,38.0,34.49,1590.0
1769013759.7865856,4.477002143859863,3,38.0,35.27,1590.0
1769013761.2775402,5.967956781387329,0,40.0,35.0,1590.0
1769013761.2775402,5.967956781387329,1,39.0,34.41,1590.0
1769013761.2775402,5.967956781387329,2,38.0,34.78,1590.0
1769013761.2775402,5.967956781387329,3,38.0,35.37,1590.0
1769013762.769266,7.459682464599609,0,40.0,35.09,1590.0
1769013762.769266,7.459682464599609,1,39.0,34.31,1590.0
1769013762.769266,7.459682464599609,2,38.0,34.68,1590.0
1769013762.769266,7.459682464599609,3,38.0,35.27,1590.0
1769013764.2573876,8.94780421257019,0,40.0,35.0,1590.0
1769013764.2573876,8.94780421257019,1,39.0,34.51,1590.0
1769013764.2573876,8.94780421257019,2,38.0,34.78,1590.0
1769013764.2573876,8.94780421257019,3,38.0,35.46,1590.0
1769013765.745332,10.43574857711792,0,40.0,35.29,1590.0
1769013765.745332,10.43574857711792,1,40.0,34.31,1590.0
1769013765.745332,10.43574857711792,2,38.0,34.68,1590.0
1769013765.745332,10.43574857711792,3,39.0,35.37,1590.0
1769013767.2324522,11.922868728637695,0,41.0,35.29,1590.0
1769013767.2324522,11.922868728637695,1,40.0,34.41,1590.0
1769013767.2324522,11.922868728637695,2,39.0,34.78,1590.0
1769013767.2324522,11.922868728637695,3,39.0,35.46,1590.0
1769013768.7233136,13.413730144500732,0,41.0,35.19,1590.0
1769013768.7233136,13.413730144500732,1,40.0,34.41,1590.0
1769013768.7233136,13.413730144500732,2,39.0,34.88,1590.0
1769013768.7233136,13.413730144500732,3,39.0,35.56,1590.0
1769013770.2103586,14.90077519416809,0,41.0,35.76,1590.0
1769013770.2103586,14.90077519416809,1,40.0,34.51,1590.0
1769013770.2103586,14.90077519416809,2,39.0,34.78,1590.0
1769013770.2103586,14.90077519416809,3,39.0,35.56,1590.0
1769013771.7029788,16.39339542388916,0,41.0,35.19,1590.0
1769013771.7029788,16.39339542388916,1,40.0,34.7,1590.0
1769013771.7029788,16.39339542388916,2,39.0,34.88,1590.0
1769013771.7029788,16.39339542388916,3,39.0,35.56,1590.0
1769013773.1926332,17.883049726486206,0,41.0,35.19,1590.0
1769013773.1926332,17.883049726486206,1,40.0,34.51,1590.0
1769013773.1926332,17.883049726486206,2,40.0,34.88,1590.0
1769013773.1926332,17.883049726486206,3,40.0,35.56,1590.0
1769013774.6856046,19.376021146774292,0,41.0,35.46,1590.0
1769013774.6856046,19.376021146774292,1,41.0,34.41,1590.0
1769013774.6856046,19.376021146774292,2,40.0,34.98,1590.0
1769013774.6856046,19.376021146774292,3,40.0,35.56,1590.0
1769013776.1794271,20.86984372138977,0,42.0,35.29,1590.0
1769013776.1794271,20.86984372138977,1,41.0,34.61,1590.0
1769013776.1794271,20.86984372138977,2,40.0,35.17,1590.0
1769013776.1794271,20.86984372138977,3,40.0,35.56,1590.0
1769013777.6720884,22.362504959106445,0,42.0,35.76,1590.0
1769013777.6720884,22.362504959106445,1,41.0,34.61,1590.0
1769013777.6720884,22.362504959106445,2,40.0,34.98,1590.0
1769013777.6720884,22.362504959106445,3,40.0,35.85,1590.0
1769013779.1647785,23.85519504547119,0,42.0,35.48,1590.0
1769013779.1647785,23.85519504547119,1,41.0,34.61,1590.0
1769013779.1647785,23.85519504547119,2,40.0,34.98,1590.0
1769013779.1647785,23.85519504547119,3,40.0,35.76,1590.0
1769013780.6521182,25.34253478050232,0,42.0,35.66,1590.0
1769013780.6521182,25.34253478050232,1,41.0,34.7,1590.0
1769013780.6521182,25.34253478050232,2,40.0,35.17,1590.0
1769013780.6521182,25.34253478050232,3,41.0,35.66,1590.0
1769013782.1418068,26.832223415374756,0,42.0,35.39,1590.0
1769013782.1418068,26.832223415374756,1,41.0,34.8,1590.0
1769013782.1418068,26.832223415374756,2,41.0,35.17,1590.0
1769013782.1418068,26.832223415374756,3,41.0,35.95,1590.0
1769013783.633188,28.323604583740234,0,42.0,35.58,1590.0
1769013783.633188,28.323604583740234,1,42.0,34.7,1590.0
1769013783.633188,28.323604583740234,2,41.0,35.27,1590.0
1769013783.633188,28.323604583740234,3,41.0,35.76,1590.0
1769013785.1225495,29.812966108322144,0,42.0,35.68,1590.0
1769013785.1225495,29.812966108322144,1,42.0,34.7,1530.0
1769013785.1225495,29.812966108322144,2,41.0,36.71,1590.0
1769013785.1225495,29.812966108322144,3,41.0,35.76,1590.0
1769013786.688951,31.37936758995056,0,43.0,36.03,1590.0
1769013786.688951,31.37936758995056,1,42.0,35.07,1590.0
1769013786.688951,31.37936758995056,2,41.0,35.25,1590.0
1769013786.688951,31.37936758995056,3,42.0,42.47,1590.0
1769013788.2274559,32.91787242889404,0,43.0,43.28,1590.0
1769013788.2274559,32.91787242889404,1,43.0,40.09,1590.0
1769013788.2274559,32.91787242889404,2,42.0,40.33,1590.0
1769013788.2274559,32.91787242889404,3,42.0,40.94,1590.0
1769013789.8148172,34.50523376464844,0,44.0,41.04,1590.0
1769013789.8148172,34.50523376464844,1,43.0,39.78,1590.0
1769013789.8148172,34.50523376464844,2,42.0,41.69,1590.0
1769013789.8148172,34.50523376464844,3,42.0,42.38,1590.0
1769013791.3769011,36.067317724227905,0,44.0,41.14,1590.0
1769013791.3769011,36.067317724227905,1,43.0,40.46,1590.0
1769013791.3769011,36.067317724227905,2,42.0,40.33,1590.0
1769013791.3769011,36.067317724227905,3,43.0,42.76,1590.0
1769013792.9494133,37.639829874038696,0,44.0,41.72,1590.0
1769013792.9494133,37.639829874038696,1,43.0,39.68,1590.0
1769013792.9494133,37.639829874038696,2,43.0,41.01,1590.0
1769013792.9494133,37.639829874038696,3,43.0,41.14,1590.0
1769013794.537246,39.227662563323975,0,44.0,42.96,1590.0
1769013794.537246,39.227662563323975,1,44.0,39.68,1590.0
1769013794.537246,39.227662563323975,2,43.0,41.79,1590.0
1769013794.537246,39.227662563323975,3,43.0,42.76,1590.0
1769013796.1103165,40.80073308944702,0,45.0,41.04,1590.0
1769013796.1103165,40.80073308944702,1,44.0,39.51,1590.0
1769013796.1103165,40.80073308944702,2,43.0,41.79,1590.0
1769013796.1103165,40.80073308944702,3,43.0,42.47,1590.0
1769013797.6751614,42.365577936172485,0,45.0,41.72,1590.0
1769013797.6751614,42.365577936172485,1,44.0,39.97,1590.0
1769013797.6751614,42.365577936172485,2,43.0,40.53,1590.0
1769013797.6751614,42.365577936172485,3,44.0,42.86,1590.0
1769013799.269698,43.96011447906494,0,45.0,43.44,1590.0
1769013799.269698,43.96011447906494,1,44.0,40.46,1590.0
1769013799.269698,43.96011447906494,2,44.0,41.99,1590.0
1769013799.269698,43.96011447906494,3,44.0,41.21,1590.0
1769013800.8656695,45.55608606338501,0,45.0,41.23,1590.0
1769013800.8656695,45.55608606338501,1,44.0,39.87,1590.0
1769013800.8656695,45.55608606338501,2,44.0,41.89,1590.0
1769013800.8656695,45.55608606338501,3,44.0,42.67,1590.0
1769013802.4267578,47.11717438697815,0,45.0,38.73,1590.0
1769013802.4267578,47.11717438697815,1,44.0,41.62,1590.0
1769013802.4267578,47.11717438697815,2,44.0,40.33,1590.0
1769013802.4267578,47.11717438697815,3,44.0,40.43,1590.0
1769013803.9914727,48.681889295578,0,46.0,41.91,1590.0
1769013803.9914727,48.681889295578,1,45.0,39.41,1590.0
1769013803.9914727,48.681889295578,2,44.0,42.18,1590.0
1769013803.9914727,48.681889295578,3,44.0,41.4,1590.0
1769013805.6047907,50.295207262039185,0,46.0,42.28,1590.0
1769013805.6047907,50.295207262039185,1,45.0,40.65,1590.0
1769013805.6047907,50.295207262039185,2,45.0,40.72,1590.0
1769013805.6047907,50.295207262039185,3,45.0,41.31,1590.0
1769013807.1626248,51.85304141044617,0,46.0,41.33,1590.0
1769013807.1626248,51.85304141044617,1,45.0,39.97,1590.0
1769013807.1626248,51.85304141044617,2,45.0,39.39,1590.0
1769013807.1626248,51.85304141044617,3,45.0,41.99,1590.0
1769013808.7027543,53.39317083358765,0,46.0,41.91,1590.0
1769013808.7027543,53.39317083358765,1,45.0,40.16,1590.0
1769013808.7027543,53.39317083358765,2,45.0,40.82,1590.0
1769013808.7027543,53.39317083358765,3,45.0,42.67,1590.0
1769013810.2820225,54.97243905067444,0,46.0,41.33,1590.0
1769013810.2820225,54.97243905067444,1,45.0,40.65,1590.0
1769013810.2820225,54.97243905067444,2,45.0,42.18,1590.0
1769013810.2820225,54.97243905067444,3,45.0,40.36,1590.0
1769013811.886965,56.57738161087036,0,46.0,41.43,1590.0
1769013811.886965,56.57738161087036,1,45.0,40.07,1590.0
1769013811.886965,56.57738161087036,2,45.0,42.18,1590.0
1769013811.886965,56.57738161087036,3,45.0,40.16,1590.0
1769013813.4435403,58.13395690917969,0,46.0,41.91,1590.0
1769013813.4435403,58.13395690917969,1,46.0,40.85,1590.0
1769013813.4435403,58.13395690917969,2,45.0,39.29,1590.0
1769013813.4435403,58.13395690917969,3,46.0,40.26,1590.0
1769013815.0324345,59.722851037979126,0,47.0,41.23,1590.0
1769013815.0324345,59.722851037979126,1,46.0,40.16,1590.0
1769013815.0324345,59.722851037979126,2,46.0,42.25,1590.0
1769013815.0324345,59.722851037979126,3,46.0,41.5,1590.0
1769013816.6430047,61.33342123031616,0,47.0,42.11,1590.0
1769013816.6430047,61.33342123031616,1,46.0,42.18,1590.0
1769013816.6430047,61.33342123031616,2,46.0,40.92,1590.0
1769013816.6430047,61.33342123031616,3,46.0,41.6,1590.0
1769013818.1894875,62.87990403175354,0,47.0,41.43,1590.0
1769013818.1894875,62.87990403175354,1,46.0,39.58,1590.0
1769013818.1894875,62.87990403175354,2,46.0,40.53,1590.0
1769013818.1894875,62.87990403175354,3,46.0,41.6,1590.0
1769013819.7371757,64.42759227752686,0,47.0,42.11,1590.0
1769013819.7371757,64.42759227752686,1,46.0,40.36,1590.0
1769013819.7371757,64.42759227752686,2,46.0,37.85,1590.0
1769013819.7371757,64.42759227752686,3,46.0,38.63,1590.0
1769013821.299376,65.98979258537292,0,47.0,41.33,1590.0
1769013821.299376,65.98979258537292,1,46.0,40.85,1590.0
1769013821.299376,65.98979258537292,2,46.0,38.63,1590.0
1769013821.299376,65.98979258537292,3,46.0,41.6,1590.0
1769013822.8775263,67.56794285774231,0,47.0,41.53,1590.0
1769013822.8775263,67.56794285774231,1,46.0,40.26,1590.0
1769013822.8775263,67.56794285774231,2,46.0,42.35,1590.0
1769013822.8775263,67.56794285774231,3,46.0,43.25,1590.0
1769013824.422721,69.1131374835968,0,47.0,42.08,1590.0
1769013824.422721,69.1131374835968,1,46.0,40.85,1590.0
1769013824.422721,69.1131374835968,2,46.0,41.01,1590.0
1769013824.422721,69.1131374835968,3,46.0,41.69,1590.0
1769013825.9915235,70.68194007873535,0,48.0,42.21,1590.0
1769013825.9915235,70.68194007873535,1,46.0,40.26,1590.0
1769013825.9915235,70.68194007873535,2,47.0,42.57,1590.0
1769013825.9915235,70.68194007873535,3,47.0,41.69,1590.0
1769013827.595164,72.2855806350708,0,48.0,41.53,1590.0
1769013827.595164,72.2855806350708,1,47.0,41.82,1590.0
1769013827.595164,72.2855806350708,2,47.0,40.24,1590.0
1769013827.595164,72.2855806350708,3,47.0,41.79,1590.0
1769013829.14303,73.83344650268555,0,48.0,41.53,1590.0
1769013829.14303,73.83344650268555,1,47.0,40.26,1590.0
1769013829.14303,73.83344650268555,2,47.0,41.21,1590.0
1769013829.14303,73.83344650268555,3,47.0,40.26,1590.0
1769013830.697833,75.38824963569641,0,48.0,42.21,1590.0
1769013830.697833,75.38824963569641,1,47.0,38.63,1590.0
1769013830.697833,75.38824963569641,2,47.0,38.44,1590.0
1769013830.697833,75.38824963569641,3,47.0,41.79,1590.0
1769013832.2513773,76.94179391860962,0,48.0,41.62,1590.0
1769013832.2513773,76.94179391860962,1,47.0,37.66,1590.0
1769013832.2513773,76.94179391860962,2,47.0,37.35,1590.0
1769013832.2513773,76.94179391860962,3,47.0,41.89,1590.0
1769013833.8255548,78.51597142219543,0,48.0,41.62,1590.0
1769013833.8255548,78.51597142219543,1,47.0,40.36,1590.0
1769013833.8255548,78.51597142219543,2,47.0,41.31,1590.0
1769013833.8255548,78.51597142219543,3,47.0,41.69,1590.0
1769013835.3644497,80.05486631393433,0,48.0,40.07,1590.0
1769013835.3644497,80.05486631393433,1,47.0,39.78,1590.0
1769013835.3644497,80.05486631393433,2,47.0,41.89,1590.0
1769013835.3644497,80.05486631393433,3,47.0,41.89,1590.0
1769013836.9517243,81.64214086532593,0,48.0,42.3,1590.0
1769013836.9517243,81.64214086532593,1,47.0,40.46,1590.0
1769013836.9517243,81.64214086532593,2,47.0,42.67,1590.0
1769013836.9517243,81.64214086532593,3,47.0,42.57,1590.0
1769013838.574258,83.2646746635437,0,48.0,43.25,1590.0
1769013838.574258,83.2646746635437,1,47.0,40.07,1590.0
1769013838.574258,83.2646746635437,2,48.0,41.31,1590.0
1769013838.574258,83.2646746635437,3,48.0,43.06,1590.0
1769013840.1391964,84.82961297035217,0,48.0,40.85,1590.0
1769013840.1391964,84.82961297035217,1,47.0,42.08,1590.0
